iter	Logloss
0	0.6895426875
1	0.6854914375
2	0.6814555293
3	0.6777370287
4	0.6738558645
5	0.6703729215
6	0.6668434143
7	0.6632446621
8	0.6600055695
9	0.6562554318
10	0.6526004128
11	0.6492467134
12	0.6459599371
13	0.6427069954
14	0.6392568505
15	0.6361838216
16	0.6328109658
17	0.6297786961
18	0.6268419183
19	0.6242109796
20	0.6206814724
21	0.6175803309
22	0.6148771203
23	0.611936818
24	0.6090953661
25	0.6063947678
26	0.603409933
27	0.6008229048
28	0.5982481915
29	0.5959386411
30	0.5933397542
31	0.590641312
32	0.5880993553
33	0.5851656043
34	0.5825876153
35	0.5796595034
36	0.5773324137
37	0.5749280764
38	0.5727954118
39	0.5707543
40	0.5685547538
41	0.5664123452
42	0.5640576819
43	0.561836989
44	0.5595737955
45	0.5573711395
46	0.5556096616
47	0.5536416925
48	0.5515395455
49	0.5493865635
50	0.5477279166
51	0.5454190296
52	0.543429582
53	0.5418660122
54	0.5399161629
55	0.5378500068
56	0.5362268945
57	0.5341601994
58	0.5321761422
59	0.5304057909
60	0.5286567522
61	0.526762755
62	0.525173519
63	0.5235035108
64	0.5217873946
65	0.5199040537
66	0.5184794716
67	0.5165944721
68	0.5151662412
69	0.5137245344
70	0.512477626
71	0.5108574162
72	0.5094898887
73	0.507976532
74	0.5065572158
75	0.5049903289
76	0.5035277657
77	0.5020802539
78	0.5006931968
79	0.499286237
80	0.4979525856
81	0.4968114521
82	0.4954178852
83	0.4937680701
84	0.4926812545
85	0.4912254085
86	0.4900626307
87	0.4889596027
88	0.4876714789
89	0.4867708372
90	0.4853876363
91	0.4841145225
92	0.4830645686
93	0.481859995
94	0.4808005457
95	0.4797916412
96	0.4789518273
97	0.4778631459
98	0.4766601065
99	0.4758465394
100	0.4748591962
101	0.4736069389
102	0.4726935262
103	0.4715900836
104	0.4704452598
105	0.4695647281
106	0.4687625222
107	0.4680615301
108	0.4672257797
109	0.4661929504
110	0.4651321743
111	0.464072725
112	0.4630364957
113	0.4622129772
114	0.4612785422
115	0.4604161304
116	0.4593661764
117	0.4582485116
118	0.457332155
119	0.4562202122
120	0.4554331406
121	0.4544658661
122	0.4534536859
123	0.4524720648
124	0.4517667605
125	0.4509101536
126	0.4500109631
127	0.4490493277
128	0.448284937
129	0.4473767488
130	0.4464576141
131	0.4458816362
132	0.4448610389
133	0.4438574418
134	0.4431009707
135	0.4425931184
136	0.4416296586
137	0.4409561987
138	0.4403595302
139	0.4394050681
140	0.4390250082
141	0.4384982897
142	0.4379903545
143	0.4372508837
144	0.4365011298
145	0.4356507426
146	0.4349953195
147	0.4343759703
148	0.4337032152
149	0.4331371473
150	0.4326176851
151	0.4319160296
152	0.4314809467
153	0.4310556909
154	0.4305417019
155	0.4298626029
156	0.42896221
157	0.4283686513
158	0.4276824619
159	0.4270064312
160	0.4262614458
161	0.4256209498
162	0.4249526729
163	0.424418325
164	0.4239634638
165	0.4234669727
