iter	Passed	Remaining
0	0	827
1	8	4192
2	12	4064
3	17	4444
4	22	4440
5	29	4916
6	36	5235
7	37	4681
8	38	4249
9	48	4844
10	52	4698
11	56	4655
12	59	4508
13	65	4639
14	70	4624
15	76	4698
16	80	4673
17	86	4707
18	90	4668
19	94	4610
20	98	4590
21	100	4449
22	105	4500
23	112	4558
24	115	4494
25	119	4464
26	126	4540
27	129	4488
28	136	4557
29	136	4421
30	141	4408
31	144	4371
32	146	4284
33	152	4326
34	156	4306
35	159	4266
36	161	4200
37	164	4155
38	168	4153
39	170	4103
40	175	4113
41	179	4097
42	185	4124
43	186	4055
44	189	4023
45	192	3992
46	193	3915
47	195	3885
48	198	3856
49	200	3814
50	201	3750
51	205	3753
52	210	3767
53	211	3707
54	214	3679
55	217	3660
56	220	3650
57	224	3648
58	225	3602
59	229	3599
60	232	3576
61	236	3574
62	237	3527
63	240	3513
64	245	3528
65	250	3549
66	253	3526
67	258	3546
68	261	3525
69	267	3560
70	274	3587
71	279	3606
72	280	3564
73	285	3573
74	287	3545
75	291	3541
76	294	3525
77	299	3541
78	304	3544
79	307	3537
80	309	3516
81	312	3496
82	317	3503
83	320	3492
84	322	3474
85	326	3465
86	330	3468
87	331	3434
88	334	3427
89	335	3392
90	338	3384
91	341	3369
92	343	3350
93	346	3343
94	348	3321
95	352	3316
96	353	3293
97	356	3283
98	360	3284
99	361	3254
100	364	3248
101	367	3238
102	371	3233
103	375	3230
104	378	3229
105	383	3231
106	385	3217
107	387	3199
108	389	3184
109	392	3177
110	395	3167
111	400	3177
112	403	3167
113	408	3173
114	411	3163
115	414	3162
116	418	3155
117	420	3146
118	424	3143
119	428	3139
120	433	3145
121	436	3139
122	440	3142
123	443	3134
124	447	3131
125	450	3123
126	453	3114
127	458	3123
128	462	3122
129	468	3135
130	472	3131
131	475	3128
132	478	3118
133	481	3109
134	484	3103
135	486	3089
136	488	3078
137	491	3068
138	494	3062
139	497	3056
140	500	3049
141	504	3049
142	506	3035
143	508	3023
144	510	3011
145	513	3003
146	516	2995
147	518	2984
148	521	2979
149	524	2969
150	527	2967
151	530	2962
152	533	2955
153	534	2937
154	537	2932
155	540	2925
156	543	2919
157	545	2909
158	548	2902
159	552	2898
160	554	2889
161	557	2884
162	560	2877
163	562	2865
164	566	2868
165	568	2856
166	570	2847
167	573	2841
168	576	2836
169	582	2842
170	585	2840
171	588	2831
172	589	2820
173	592	2812
174	595	2808
175	597	2799
176	600	2794
177	603	2785
178	605	2775
179	608	2770
180	611	2768
181	615	2766
182	619	2767
183	623	2765
184	624	2750
185	626	2741
186	630	2739
187	633	2736
188	636	2729
189	638	2721
190	642	2721
191	644	2712
192	648	2713
193	651	2706
194	652	2694
195	654	2685
196	658	2683
197	660	2674
198	663	2672
199	666	2667
200	670	2665
201	674	2663
202	675	2652
203	678	2646
204	680	2638
205	683	2636
206	685	2625
207	689	2625
208	692	2621
209	695	2614
210	697	2609
211	702	2610
212	705	2606
213	708	2603
214	711	2596
215	712	2587
216	715	2581
217	719	2581
218	723	2579
219	726	2574
220	728	2569
221	732	2567
222	734	2559
223	736	2550
224	738	2545
225	741	2539
226	743	2531
227	745	2525
228	750	2525
229	752	2518
230	754	2513
231	756	2504
232	758	2496
233	761	2491
234	764	2489
235	765	2478
236	769	2475
237	772	2473
238	775	2468
239	778	2463
240	778	2452
241	783	2452
242	785	2446
243	788	2444
244	791	2439
245	794	2433
246	796	2428
247	800	2426
248	801	2417
249	804	2414
250	808	2411
251	810	2406
252	813	2400
253	816	2398
254	818	2391
255	819	2380
256	821	2374
257	824	2372
258	828	2369
259	831	2365
260	833	2360
261	837	2357
262	839	2351
263	842	2348
264	845	2343
265	847	2337
266	849	2332
267	852	2328
268	854	2321
269	856	2317
270	858	2310
271	862	2308
272	864	2301
273	866	2296
274	871	2298
275	875	2297
276	879	2295
277	880	2287
278	883	2283
279	885	2278
280	889	2275
281	892	2271
282	895	2267
283	896	2260
284	899	2255
285	902	2253
286	905	2250
287	908	2246
288	911	2242
289	913	2235
290	916	2232
291	919	2228
292	922	2225
293	925	2223
294	929	2221
295	933	2219
296	934	2212
297	937	2208
298	940	2205
299	942	2199
300	945	2196
301	949	2193
302	953	2193
303	956	2190
304	957	2181
305	962	2182
306	966	2180
307	969	2177
308	972	2173
309	974	2168
310	976	2164
311	980	2161
312	982	2157
313	984	2150
314	986	2144
315	988	2139
316	990	2133
317	992	2127
318	994	2122
319	996	2117
320	998	2112
321	1002	2110
322	1005	2107
323	1007	2101
324	1010	2099
325	1013	2096
326	1016	2091
327	1018	2087
328	1021	2082
329	1024	2080
330	1026	2074
331	1028	2070
332	1030	2064
333	1033	2060
334	1035	2055
335	1037	2050
336	1040	2046
337	1042	2042
338	1045	2038
339	1047	2033
340	1049	2028
341	1052	2024
342	1053	2018
343	1055	2013
344	1058	2009
345	1061	2006
346	1063	2001
347	1066	1998
348	1068	1992
349	1070	1987
350	1072	1982
351	1074	1977
352	1075	1971
353	1077	1966
354	1079	1961
355	1080	1955
356	1082	1950
357	1084	1945
358	1087	1941
359	1089	1936
360	1091	1932
361	1094	1928
362	1095	1922
363	1096	1916
364	1099	1912
365	1101	1907
366	1103	1902
367	1105	1898
368	1107	1894
369	1109	1889
370	1111	1884
371	1114	1880
372	1115	1875
373	1117	1870
374	1119	1865
375	1121	1861
376	1123	1857
377	1125	1852
378	1128	1848
379	1129	1842
380	1135	1844
381	1138	1842
382	1140	1837
383	1141	1831
384	1143	1826
385	1144	1820
386	1146	1815
387	1147	1809
388	1148	1804
389	1150	1798
390	1151	1793
391	1152	1787
392	1153	1781
393	1154	1776
394	1155	1770
395	1157	1765
396	1158	1759
397	1159	1754
398	1160	1748
399	1162	1743
400	1163	1737
401	1164	1732
402	1166	1727
403	1167	1722
404	1168	1717
405	1169	1711
406	1171	1706
407	1172	1701
408	1173	1696
409	1174	1690
410	1176	1685
411	1177	1680
412	1178	1675
413	1180	1670
414	1181	1665
415	1182	1660
416	1184	1655
417	1185	1650
418	1186	1645
419	1187	1640
420	1189	1635
421	1190	1630
422	1191	1625
423	1192	1620
424	1193	1615
425	1194	1609
426	1195	1604
427	1197	1599
428	1198	1595
429	1199	1590
430	1201	1585
431	1202	1580
432	1203	1576
433	1204	1571
434	1206	1566
435	1207	1561
436	1208	1557
437	1209	1552
438	1210	1547
439	1212	1543
440	1213	1538
441	1214	1533
442	1216	1529
443	1217	1524
444	1218	1519
445	1219	1515
446	1220	1510
447	1222	1505
448	1223	1501
449	1224	1496
450	1225	1492
451	1227	1487
452	1227	1482
453	1229	1478
454	1230	1473
455	1231	1469
456	1232	1464
457	1233	1459
458	1234	1455
459	1236	1451
460	1237	1446
461	1238	1442
462	1239	1437
463	1240	1433
464	1242	1429
465	1243	1424
466	1244	1420
467	1245	1415
468	1246	1411
469	1247	1407
470	1249	1402
471	1250	1398
472	1251	1394
473	1252	1390
474	1254	1386
475	1255	1381
476	1256	1377
477	1257	1373
478	1258	1369
479	1259	1364
480	1261	1360
481	1262	1356
482	1263	1352
483	1264	1347
484	1265	1343
485	1266	1339
486	1267	1335
487	1268	1331
488	1269	1327
489	1271	1322
490	1271	1318
491	1273	1314
492	1274	1310
493	1275	1306
494	1276	1302
495	1277	1298
496	1278	1294
497	1280	1290
498	1281	1286
499	1282	1282
500	1283	1278
501	1284	1274
502	1285	1270
503	1286	1266
504	1287	1262
505	1288	1258
506	1289	1254
507	1290	1250
508	1292	1246
509	1293	1242
510	1294	1238
511	1295	1234
512	1296	1231
513	1298	1227
514	1299	1223
515	1300	1219
516	1301	1216
517	1302	1212
518	1303	1208
519	1305	1204
520	1306	1201
521	1307	1197
522	1308	1193
523	1310	1190
524	1311	1186
525	1312	1182
526	1313	1179
527	1314	1175
528	1315	1171
529	1316	1167
530	1317	1164
531	1319	1160
532	1320	1156
533	1321	1153
534	1322	1149
535	1323	1146
536	1325	1142
537	1326	1139
538	1327	1135
539	1328	1131
540	1329	1128
541	1330	1124
542	1331	1120
543	1333	1117
544	1334	1113
545	1335	1110
546	1336	1106
547	1337	1103
548	1338	1099
549	1339	1096
550	1341	1092
551	1342	1089
552	1343	1086
553	1344	1082
554	1346	1079
555	1347	1075
556	1348	1072
557	1349	1069
558	1350	1065
559	1351	1062
560	1353	1058
561	1354	1055
562	1355	1052
563	1356	1048
564	1357	1045
565	1358	1042
566	1360	1038
567	1361	1035
568	1362	1032
569	1363	1028
570	1364	1025
571	1366	1022
572	1367	1018
573	1368	1015
574	1369	1012
575	1370	1009
576	1372	1006
577	1373	1002
578	1374	999
579	1376	996
580	1377	993
581	1378	990
582	1379	986
583	1380	983
584	1381	980
585	1383	977
586	1384	973
587	1385	970
588	1386	967
589	1387	964
590	1389	961
591	1390	958
592	1391	955
593	1392	952
594	1393	948
595	1394	945
596	1396	942
597	1397	939
598	1398	936
599	1399	933
600	1400	929
601	1401	926
602	1403	923
603	1404	920
604	1405	917
605	1406	914
606	1408	911
607	1409	908
608	1410	905
609	1411	902
610	1412	899
611	1413	896
612	1415	893
613	1416	890
614	1417	887
615	1418	884
616	1419	881
617	1420	878
618	1421	875
619	1422	872
620	1424	869
621	1425	866
622	1426	863
623	1427	860
624	1428	857
625	1430	854
626	1431	851
627	1432	848
628	1433	845
629	1434	842
630	1435	839
631	1436	836
632	1437	833
633	1439	830
634	1440	827
635	1441	825
636	1442	822
637	1444	819
638	1445	816
639	1446	813
640	1447	810
641	1448	807
642	1449	805
643	1451	802
644	1452	799
645	1453	796
646	1454	793
647	1455	790
648	1457	788
649	1458	785
650	1459	782
651	1460	779
652	1461	776
653	1462	773
654	1464	771
655	1465	768
656	1466	765
657	1467	762
658	1468	759
659	1469	757
660	1470	754
661	1472	751
662	1473	748
663	1474	746
664	1475	743
665	1476	740
666	1477	737
667	1479	735
668	1480	732
669	1481	729
670	1482	726
671	1483	724
672	1484	721
673	1486	718
674	1487	716
675	1488	713
676	1489	710
677	1490	708
678	1491	705
679	1493	702
680	1494	699
681	1495	697
682	1496	694
683	1497	691
684	1498	689
685	1499	686
686	1501	683
687	1502	681
688	1503	678
689	1504	675
690	1505	673
691	1506	670
692	1507	667
693	1508	665
694	1509	662
695	1510	659
696	1512	657
697	1513	654
698	1514	652
699	1515	649
700	1516	647
701	1518	644
702	1519	641
703	1520	639
704	1521	636
705	1522	634
706	1523	631
707	1524	628
708	1525	626
709	1526	623
710	1527	621
711	1529	618
712	1530	615
713	1531	613
714	1532	610
715	1533	608
716	1534	605
717	1535	603
718	1537	600
719	1538	598
720	1539	595
721	1540	593
722	1541	590
723	1542	588
724	1543	585
725	1544	583
726	1546	580
727	1547	578
728	1548	575
729	1549	573
730	1551	570
731	1552	568
732	1553	565
733	1555	563
734	1556	561
735	1557	558
736	1558	556
737	1559	553
738	1561	551
739	1562	548
740	1563	546
741	1564	543
742	1565	541
743	1566	539
744	1567	536
745	1568	534
746	1569	531
747	1571	529
748	1572	526
749	1573	524
750	1574	522
751	1575	519
752	1576	517
753	1577	514
754	1578	512
755	1580	509
756	1581	507
757	1582	505
758	1583	502
759	1584	500
760	1585	497
761	1586	495
762	1587	493
763	1588	490
764	1589	488
765	1589	485
766	1591	483
767	1592	480
768	1593	478
769	1594	476
770	1595	473
771	1596	471
772	1597	469
773	1598	466
774	1599	464
775	1600	461
776	1601	459
777	1602	457
778	1603	454
779	1604	452
780	1605	450
781	1606	447
782	1607	445
783	1608	443
784	1609	440
785	1610	438
786	1611	436
787	1613	433
788	1614	431
789	1615	429
790	1616	427
791	1617	424
792	1618	422
793	1619	420
794	1620	417
795	1620	415
796	1621	413
797	1623	410
798	1624	408
799	1625	406
800	1626	403
801	1627	401
802	1628	399
803	1629	397
804	1630	394
805	1631	392
806	1632	390
807	1633	388
808	1634	385
809	1635	383
810	1636	381
811	1638	379
812	1639	377
813	1640	374
814	1641	372
815	1642	370
816	1643	368
817	1644	365
818	1645	363
819	1646	361
820	1647	359
821	1648	357
822	1649	354
823	1650	352
824	1651	350
825	1652	348
826	1653	345
827	1654	343
828	1655	341
829	1657	339
830	1658	337
831	1659	335
832	1660	332
833	1661	330
834	1662	328
835	1663	326
836	1664	324
837	1665	321
838	1666	319
839	1667	317
840	1668	315
841	1669	313
842	1670	311
843	1671	309
844	1672	306
845	1673	304
846	1674	302
847	1675	300
848	1676	298
849	1678	296
850	1679	293
851	1680	291
852	1681	289
853	1682	287
854	1683	285
855	1684	283
856	1685	281
857	1686	279
858	1687	276
859	1688	274
860	1689	272
861	1690	270
862	1691	268
863	1692	266
864	1693	264
865	1694	262
866	1695	260
867	1696	258
868	1697	255
869	1698	253
870	1699	251
871	1700	249
872	1702	247
873	1703	245
874	1704	243
875	1705	241
876	1706	239
877	1707	237
878	1708	235
879	1709	233
880	1710	231
881	1711	228
882	1712	226
883	1713	224
884	1714	222
885	1715	220
886	1716	218
887	1717	216
888	1718	214
889	1719	212
890	1720	210
891	1721	208
892	1722	206
893	1723	204
894	1724	202
895	1725	200
896	1726	198
897	1727	196
898	1728	194
899	1729	192
900	1730	190
901	1731	188
902	1732	186
903	1734	184
904	1735	182
905	1736	180
906	1737	178
907	1737	176
908	1738	174
909	1739	172
910	1740	170
911	1741	168
912	1742	166
913	1743	164
914	1744	162
915	1745	160
916	1746	158
917	1747	156
918	1749	154
919	1750	152
920	1751	150
921	1752	148
922	1753	146
923	1754	144
924	1755	142
925	1756	140
926	1757	138
927	1758	136
928	1759	134
929	1760	132
930	1761	130
931	1762	128
932	1763	126
933	1764	124
934	1765	122
935	1766	120
936	1767	118
937	1768	116
938	1769	114
939	1770	113
940	1771	111
941	1772	109
942	1773	107
943	1774	105
944	1775	103
945	1776	101
946	1777	99
947	1778	97
948	1779	95
949	1780	93
950	1781	91
951	1782	89
952	1783	87
953	1784	86
954	1785	84
955	1786	82
956	1787	80
957	1788	78
958	1789	76
959	1790	74
960	1791	72
961	1792	70
962	1793	68
963	1795	67
964	1796	65
965	1797	63
966	1798	61
967	1799	59
968	1800	57
969	1801	55
970	1802	53
971	1803	51
972	1804	50
973	1805	48
974	1806	46
975	1807	44
976	1808	42
977	1809	40
978	1810	38
979	1811	36
980	1812	35
981	1813	33
982	1814	31
983	1815	29
984	1816	27
985	1817	25
986	1818	23
987	1819	22
988	1820	20
989	1821	18
990	1822	16
991	1823	14
992	1824	12
993	1825	11
994	1826	9
995	1827	7
996	1828	5
997	1829	3
998	1830	1
999	1831	0

969	3702	114
970	3703	110
971	3704	106
972	3706	102
973	3707	98
974	3708	95
975	3710	91
976	3711	87
977	3712	83
978	3714	79
979	3715	75
980	3716	71
981	3718	68
982	3719	64
983	3721	60
984	3722	56
985	3723	52
986	3725	49
987	3726	45
988	3727	41
989	3729	37
990	3730	33
991	3732	30
992	3733	26
993	3734	22
994	3735	18
995	3737	15
996	3738	11
997	3739	7
998	3741	3
999	3742	0
	4022	8
998	4023	4
999	4025	0

997	5161	10
998	5163	5
999	5166	0
280	5
999	5283	0
